"Informazioni cronologiche","Qual è la tua età?","In che regione vivi?","In che zona abiti?","Con quale genere ti identifichi?","Da quanti componenti è formato il tuo nucleo familiare?","Qual è la tua professione?","Consumi prodotti ittici?","Per quale motivo non consumi prodotti ittici?","Quanto spesso consumi prodotti ittici?","Che tipo di prodotti ittici consumi più frequentemente in casa?","Quanto tempo dedichi mediamente alla preparazione dei pasti durante la giornata?","Solitamente ti occupi tu della spesa nella tua famiglia?","Dove acquisti più spesso i tuoi prodotti ittici? (Puoi selezionare più opzioni) ","Quanto saresti disposto a spendere per un prodotto ittico di alta qualità (es. burger di pesce gourmet)?","Quali di questi prodotti surgelati consumeresti? (Puoi selezionare più opzioni) ","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La freschezza del prodotto acquistato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La provenienza della materia prima]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La velocità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La semplicità di preparazione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il bilancio nutrizionale del prodotto]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti nuovi/innovativi]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Che il prodotto sia al naturale/poco lavorato]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [Il prezzo]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche? [La presenza di prodotti monoporzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [La provenienza da fonti sostenibili degli ingredienti (es. pesca certificata)]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il basso impatto ambientale della produzione]","Da 1 a 5, quanto sono importanti per te le seguenti caratteristiche in termini di sostenibilità? [Il packaging eco-sostenibile ]"
"2024/11/25 8:31:10 AM CET","26-35 anni","Lombardia","Periferia città","Uomo","1","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 8:37:12 AM CET","26-35 anni","Lombardia","Periferia città","Uomo","1","Lavoratore","Si","","Una volta a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","30-60 minuti","Sempre/Quasi sempre","Supermercato","Più di 10€","Burger di pesce;Insalata di mare","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 8:41:40 AM CET","26-35 anni","Lombardia","Centro città","Donna","1","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","3 - Mediamente importante","2 - Poco importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/25 9:19:13 AM CET","18-25 anni","Lombardia","Periferia città","Uomo","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","Meno di 15 minuti","Raramente/Mai","Supermercato","5-8€","Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante"
"2024/11/25 9:38:25 AM CET","26-35 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Tonno in scatola ","15-30 minuti","A volte","Supermercato","Meno di 5€","Insalata di mare;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante"
"2024/11/25 10:37:32 AM CET","18-25 anni","Lombardia","Centro città","Uomo","1","Studente","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","1 - Non mi interessa","3 - Mediamente importante","5 - Molto importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante"
"2024/11/25 10:54:16 AM CET","18-25 anni","Puglia","Centro città","Donna","4+","Studente","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","A volte","Negozi specializzati (es. pescherie)","Meno di 5€","Tartare pronte","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 10:56:30 AM CET","46-60 anni","Puglia","Periferia città","Uomo","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/25 10:57:52 AM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 11:02:17 AM CET","18-25 anni","Lombardia","Periferia città","Uomo","2-3","Studente","Si","","Una o due volte al mese","Pesce fresco","Meno di 15 minuti","Raramente/Mai","Supermercato","5-8€","Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 11:12:17 AM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","4+","Studente","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","Raramente/Mai","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante"
"2024/11/25 11:17:32 AM CET","18-25 anni","Lombardia","Periferia città","Donna","4+","Studente","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","A volte","Supermercato;Mercati locali","Più di 10€","Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 11:21:31 AM CET","46-60 anni","Puglia","Centro città","Uomo","2-3","Lavoratore","Si","","Più volte a settimana","Pesce surgelato","15-30 minuti","A volte","Supermercato;Negozi specializzati (es. pescherie)","8-10€","Prodotti gratinati;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 11:28:03 AM CET","18-25 anni","Lombardia","Centro città","Uomo","4+","Studente","Si","","Una o due volte al mese","Pesce surgelato","15-30 minuti","A volte","Supermercato","Più di 10€","Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 11:40:07 AM CET","46-60 anni","Puglia","Centro città","Donna","2-3","Lavoratore","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Supermercato;Mercati locali","8-10€","Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 11:40:57 AM CET","18-25 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Uomo","2-3","Studente","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","Raramente/Mai","Supermercato","5-8€","Tartare pronte;Burger di pesce;Prodotti gratinati;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","2 - Poco importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","2 - Poco importante","3 - Mediamente importante","2 - Poco importante"
"2024/11/25 11:46:41 AM CET","46-60 anni","Puglia","Centro città","Uomo","2-3","Lavoratore","Si","","Più volte a settimana","Tonno in vetro","15-30 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Prodotti gratinati;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 11:47:25 AM CET","60-70 anni","Puglia","Periferia città","Donna","2-3","Pensionato","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Mercati locali","Non lo comprerei","Condimenti per pasta o riso","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 11:49:47 AM CET","46-60 anni","Lombardia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Non lo comprerei","Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante"
"2024/11/25 11:51:10 AM CET","46-60 anni","Puglia","Centro città","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce fresco","Più di 60 minuti","Sempre/Quasi sempre","Supermercato;Negozi specializzati (es. pescherie)","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 11:55:57 AM CET","60-70 anni","Puglia","Periferia città","Donna","1","Pensionato","Si","","Una o due volte al mese","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Insalata di mare;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 11:57:05 AM CET","46-60 anni","Puglia","Centro città","Uomo","1","Lavoratore","No","Sono vegetariano/vegano","","","","","","","","","","","","","","","","","","",""
"2024/11/25 11:59:11 AM CET","36-45 anni","Puglia","Periferia città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Mercati locali","5-8€","Burger di pesce;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
"2024/11/25 12:03:57 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Mercati locali","Più di 10€","Burger di pesce;Prodotti gratinati","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 12:05:37 PM CET","18-25 anni","Puglia","Periferia città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","15-30 minuti","Raramente/Mai","Supermercato;Negozi specializzati (es. pescherie);Mercati locali","Meno di 5€","Prodotti gratinati;Condimenti per pasta o riso;Spiedini di gamberi o molluschi","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 12:12:28 PM CET","46-60 anni","Puglia","Centro città","Donna","2-3","Disoccupato","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","Non lo comprerei","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 12:15:24 PM CET","26-35 anni","Puglia","Centro città","Donna","4+","Lavoratore","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie);Mercati locali","Meno di 5€","Burger di pesce;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 12:16:17 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","5-8€","Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 12:17:33 PM CET","46-60 anni","Puglia","Centro città","Donna","2-3","Lavoratore","Si","","Una volta a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","Meno di 15 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Prodotti gratinati","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","2 - Poco importante"
"2024/11/25 12:19:31 PM CET","46-60 anni","Puglia","Esterno (es. campagna/costiera/montagna...)","Donna","4+","Lavoratore","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 12:21:05 PM CET","46-60 anni","Puglia","Periferia città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","8-10€","Burger di pesce","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 12:26:26 PM CET","18-25 anni","Puglia","Centro città","Donna","4+","Lavoratore","Si","","Una volta ogni due mesi o meno","Mix","Meno di 15 minuti","A volte","Supermercato;Negozi specializzati (es. pescherie)","5-8€","Mix","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 12:29:47 PM CET","46-60 anni","Puglia","Periferia città","Donna","4+","Lavoratore","Si","","Una volta ogni due mesi o meno","Pesce fresco","Meno di 15 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","8-10€","Prodotti gratinati","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/25 12:30:29 PM CET","60-70 anni","Lombardia","Periferia città","Donna","4+","Lavoratore","Si","","Più volte a settimana","Piatti pronti a base di pesce (es. burger, mix, tartare)","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","5 - Molto importante"
"2024/11/25 12:31:36 PM CET","46-60 anni","Lombardia","Centro città","Uomo","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","Meno di 15 minuti","Raramente/Mai","Ristorante","Più di 10€","Condimenti per pasta o riso","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/25 12:47:16 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Disoccupato","No","Questione di gusti","","","","","","","","","","","","","","","","","","",""
"2024/11/25 12:51:47 PM CET","46-60 anni","Puglia","Periferia città","Uomo","2-3","Lavoratore","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","A volte","Supermercato;Negozi specializzati (es. pescherie);Mercati locali","8-10€","Insalata di mare;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 1:20:41 PM CET","18-25 anni","Sicilia","Periferia città","Donna","4+","Studente","Si","","Una o due volte al mese","Piatti pronti a base di pesce (es. burger, mix, tartare)","15-30 minuti","A volte","Supermercato","5-8€","Prodotti gratinati;Insalata di mare;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","2 - Poco importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 1:27:18 PM CET","26-35 anni","Emilia-Romagna","Periferia città","Uomo","1","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Prodotti gratinati;Condimenti per pasta o riso;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 1:34:59 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Lavoratore","Si","","Una volta a settimana","Pesce fresco","Più di 60 minuti","Sempre/Quasi sempre","Mercati locali","Meno di 5€","Burger di pesce;Prodotti gratinati","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","2 - Poco importante","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante"
"2024/11/25 1:35:45 PM CET","46-60 anni","Puglia","Periferia città","Donna","1","Lavoratore","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","Sempre/Quasi sempre","Supermercato","Più di 10€","Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 1:45:00 PM CET","18-25 anni","Lombardia","Periferia città","Uomo","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","30-60 minuti","Sempre/Quasi sempre","Supermercato","5-8€","Burger di pesce;Insalata di mare;Condimenti per pasta o riso;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 1:52:33 PM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Lavoratore","Si","","Più volte a settimana","Pesce fresco","15-30 minuti","A volte","Supermercato","5-8€","Burger di pesce;Prodotti gratinati;Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","5 - Molto importante"
"2024/11/25 1:54:49 PM CET","18-25 anni","Lombardia","Centro città","Donna","4+","Studente","Si","","Una volta a settimana","Pesce surgelato","15-30 minuti","A volte","Supermercato;Mercati locali","8-10€","Filetto (o altro taglio) di pesce al naturale","5 - Molto importante","4 - Abbastanza importante","1 - Non mi interessa","2 - Poco importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante"
"2024/11/25 2:03:47 PM CET","60-70 anni","Puglia","Periferia città","Donna","2-3","Disoccupato","Si","","Una volta a settimana","Pesce fresco","30-60 minuti","A volte","Negozi specializzati (es. pescherie)","Più di 10€","Nessuno","5 - Molto importante","4 - Abbastanza importante","2 - Poco importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante"
"2024/11/25 2:10:59 PM CET","18-25 anni","Lombardia","Centro città","Donna","1","Studente","Si","","Una o due volte al mese","Pesce fresco","15-30 minuti","Sempre/Quasi sempre","Supermercato","Meno di 5€","Tartare pronte;Prodotti gratinati;Spiedini di gamberi o molluschi","4 - Abbastanza importante","3 - Mediamente importante","4 - Abbastanza importante","3 - Mediamente importante","5 - Molto importante","2 - Poco importante","3 - Mediamente importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","4 - Abbastanza importante","3 - Mediamente importante"
"2024/11/25 2:12:42 PM CET","46-60 anni","Puglia","Centro città","Donna","4+","Disoccupato","Si","","Una o due volte al mese","Piatti pronti a base di pesce (es. burger, mix, tartare)","30-60 minuti","Sempre/Quasi sempre","Negozi specializzati (es. pescherie)","8-10€","Prodotti gratinati;Condimenti per pasta o riso","4 - Abbastanza importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","2 - Poco importante","4 - Abbastanza importante","1 - Non mi interessa","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
"2024/11/25 2:15:02 PM CET","18-25 anni","Lombardia","Periferia città","Donna","2-3","Studente","Si","","Più volte a settimana","Pesce fresco","30-60 minuti","Raramente/Mai","Supermercato","Più di 10€","Burger di pesce","5 - Molto importante","5 - Molto importante","4 - Abbastanza importante","4 - Abbastanza importante","5 - Molto importante","3 - Mediamente importante","5 - Molto importante","5 - Molto importante","5 - Molto importante","3 - Mediamente importante","4 - Abbastanza importante","4 - Abbastanza importante"
"2024/11/25 2:23:10 PM CET","36-45 anni","Puglia","Centro città","Donna","4+","Disoccupato","Si","","Una o due volte al mese","Pesce fresco","30-60 minuti","Sempre/Quasi sempre","Mercati locali","8-10€","Prodotti gratinati","1 - Non mi interessa","1 - Non mi interessa","2 - Poco importante","1 - Non mi interessa","2 - Poco importante","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa","1 - Non mi interessa"
"2024/11/25 2:24:09 PM CET","18-25 anni","Lombardia","Centro città","Donna","4+","Studente","Si","","Una volta ogni due mesi o meno","Pesce surgelato","15-30 minuti","A volte","Negozi specializzati (es. pescherie)","8-10€","Burger di pesce;Prodotti gratinati;Spiedini di gamberi o molluschi;Filetto (o altro taglio) di pesce al naturale","4 - Abbastanza importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","2 - Poco importante","2 - Poco importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante","3 - Mediamente importante"
